created_at,entry_id,field2
2018-09-27 23:12:28 -0400,35774,26.43750
2018-09-27 23:12:50 -0400,35775,26.56250
2018-09-27 23:13:12 -0400,35776,26.75000
2018-09-27 23:13:33 -0400,35777,26.50000
2018-09-27 23:13:55 -0400,35778,26.62500
2018-09-27 23:14:17 -0400,35779,26.68750
2018-09-27 23:14:38 -0400,35780,25.75000
2018-09-27 23:15:00 -0400,35781,25.62500
2018-09-27 23:15:22 -0400,35782,25.25000
2018-09-27 23:15:43 -0400,35783,25.43750
2018-09-27 23:16:05 -0400,35784,26.18750
2018-09-27 23:16:27 -0400,35785,26.31250
2018-09-27 23:16:48 -0400,35786,25.93750
2018-09-27 23:17:10 -0400,35787,26.12500
2018-09-27 23:17:32 -0400,35788,26.25000
2018-09-27 23:17:53 -0400,35789,25.87500
2018-09-27 23:18:15 -0400,35790,26.25000
2018-09-27 23:18:38 -0400,35791,26.56250
2018-09-27 23:19:00 -0400,35792,26.87500
2018-09-27 23:19:21 -0400,35793,26.87500
2018-09-27 23:19:43 -0400,35794,26.68750
2018-09-27 23:20:05 -0400,35795,26.31250
2018-09-27 23:20:27 -0400,35796,25.56250
2018-09-27 23:20:48 -0400,35797,25.93750
2018-09-27 23:21:10 -0400,35798,26.37500
2018-09-27 23:21:32 -0400,35799,26.93750
2018-09-27 23:21:53 -0400,35800,26.56250
2018-09-27 23:22:15 -0400,35801,26.25000
2018-09-27 23:22:36 -0400,35802,26.25000
2018-09-27 23:22:58 -0400,35803,26.37500
2018-09-27 23:23:20 -0400,35804,26.31250
2018-09-27 23:23:41 -0400,35805,26.56250
2018-09-27 23:24:03 -0400,35806,25.87500
2018-09-27 23:24:25 -0400,35807,26.06250
2018-09-27 23:24:46 -0400,35808,26.00000
2018-09-27 23:25:08 -0400,35809,26.43750
2018-09-27 23:25:30 -0400,35810,26.75000
2018-09-27 23:25:51 -0400,35811,26.81250
2018-09-27 23:26:13 -0400,35812,27.00000
2018-09-27 23:26:35 -0400,35813,26.68750
2018-09-27 23:26:56 -0400,35814,26.81250
2018-09-27 23:27:18 -0400,35815,26.93750
2018-09-27 23:27:40 -0400,35816,26.87500
2018-09-27 23:28:02 -0400,35817,26.56250
2018-09-27 23:28:23 -0400,35818,26.56250
2018-09-27 23:28:45 -0400,35819,26.37500
2018-09-27 23:29:07 -0400,35820,26.25000
2018-09-27 23:29:29 -0400,35821,26.37500
2018-09-27 23:29:52 -0400,35822,26.31250
2018-09-27 23:30:14 -0400,35823,26.75000
2018-09-27 23:30:35 -0400,35824,26.37500
2018-09-27 23:30:57 -0400,35825,26.50000
2018-09-27 23:31:19 -0400,35826,26.18750
2018-09-27 23:31:40 -0400,35827,26.00000
2018-09-27 23:32:02 -0400,35828,26.62500
2018-09-27 23:32:24 -0400,35829,26.43750
2018-09-27 23:32:46 -0400,35830,26.37500
2018-09-27 23:33:08 -0400,35831,25.81250
2018-09-27 23:33:29 -0400,35832,26.25000
2018-09-27 23:33:51 -0400,35833,26.68750
2018-09-27 23:34:13 -0400,35834,26.50000
2018-09-27 23:34:34 -0400,35835,26.75000
2018-09-27 23:34:56 -0400,35836,26.93750
2018-09-27 23:35:18 -0400,35837,27.00000
2018-09-27 23:35:40 -0400,35838,27.06250
2018-09-27 23:36:02 -0400,35839,27.06250
2018-09-27 23:36:23 -0400,35840,27.06250
2018-09-27 23:36:45 -0400,35841,26.81250
2018-09-27 23:37:07 -0400,35842,26.81250
2018-09-27 23:37:29 -0400,35843,26.68750
2018-09-27 23:37:51 -0400,35844,26.37500
2018-09-27 23:38:12 -0400,35845,26.62500
2018-09-27 23:38:34 -0400,35846,26.18750
2018-09-27 23:38:56 -0400,35847,26.43750
2018-09-27 23:39:17 -0400,35848,26.68750
2018-09-27 23:39:39 -0400,35849,26.68750
2018-09-27 23:40:01 -0400,35850,26.87500
2018-09-27 23:40:23 -0400,35851,27.00000
2018-09-27 23:40:44 -0400,35852,26.93750
2018-09-27 23:41:06 -0400,35853,26.25000
2018-09-27 23:41:28 -0400,35854,26.43750
2018-09-27 23:41:49 -0400,35855,26.18750
2018-09-27 23:42:11 -0400,35856,26.50000
2018-09-27 23:42:33 -0400,35857,26.37500
2018-09-27 23:42:55 -0400,35858,26.43750
2018-09-27 23:43:17 -0400,35859,26.12500
2018-09-27 23:43:38 -0400,35860,26.25000
2018-09-27 23:44:00 -0400,35861,26.31250
2018-09-27 23:44:21 -0400,35862,26.31250
2018-09-27 23:44:43 -0400,35863,26.68750
2018-09-27 23:45:05 -0400,35864,26.75000
2018-09-27 23:45:26 -0400,35865,26.68750
2018-09-27 23:45:48 -0400,35866,26.87500
2018-09-27 23:46:10 -0400,35867,26.81250
2018-09-27 23:46:31 -0400,35868,26.25000
2018-09-27 23:46:53 -0400,35869,26.31250
2018-09-27 23:47:15 -0400,35870,26.43750
2018-09-27 23:47:36 -0400,35871,26.75000
2018-09-27 23:47:58 -0400,35872,26.87500
2018-09-27 23:48:20 -0400,35873,26.50000
